"No.","Time","Source","Destination","Protocol","Length","Info"
"123","96.234705647","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"124","98.239601856","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"125","100.244481443","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"126","100.804164395","Cisco_d4:1c:04","Cisco_d4:1c:04","LOOP","60","Reply"
"127","102.249396579","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"128","104.254270370","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"129","105.846719196","172.16.41.254","255.255.255.255","RIPv1","66","Response"
"130","106.259214560","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"131","108.264105042","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"132","110.268935391","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"133","110.815041469","Cisco_d4:1c:04","Cisco_d4:1c:04","LOOP","60","Reply"
"134","112.273823150","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"135","114.278785150","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"136","116.283716070","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"137","118.288552844","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"138","120.293375790","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"139","120.822231969","Cisco_d4:1c:04","Cisco_d4:1c:04","LOOP","60","Reply"
"140","122.298337580","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"141","124.303162272","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"142","126.308082228","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
