"No.","Time","Source","Destination","Protocol","Length","Info"
"60","33.178265548","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"61","33.590316623","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=17/4352, ttl=64 (no response found!)"
"62","34.598687877","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=18/4608, ttl=64 (no response found!)"
"63","34.931489714","Cisco_d4:1c:03","Cisco_d4:1c:03","LOOP","60","Reply"
"64","35.028882642","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"65","35.183125800","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"66","35.606700453","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=19/4864, ttl=64 (no response found!)"
"67","36.028575407","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"68","36.614682499","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=20/5120, ttl=64 (no response found!)"
"69","37.028580021","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"70","37.195755879","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"71","37.622703762","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=21/5376, ttl=64 (no response found!)"
"72","38.623299063","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=22/5632, ttl=64 (no response found!)"
"73","39.192699011","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"74","39.630695950","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=23/5888, ttl=64 (no response found!)"
"75","40.033981093","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"76","40.638683549","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=24/6144, ttl=64 (no response found!)"
"77","41.032576805","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"78","41.197570708","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"79","41.646721108","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=25/6400, ttl=64 (no response found!)"
"80","42.032581905","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"81","42.654687089","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=26/6656, ttl=64 (no response found!)"
"82","43.207703032","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
