"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","G-ProCom_8c:af:af","Broadcast","ARP","60","Who has 172.16.1.1? Tell 172.16.1.41"
"2","0.206931971","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"3","1.000039041","G-ProCom_8c:af:af","Broadcast","ARP","60","Who has 172.16.1.1? Tell 172.16.1.41"
"4","2.215737210","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"5","3.888046098","Cisco_d4:1c:04","Cisco_d4:1c:04","LOOP","60","Reply"
"6","4.005361087","G-ProCom_8c:af:af","Broadcast","ARP","60","Who has 172.16.1.1? Tell 172.16.1.41"
"7","4.216296290","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"8","5.004180420","G-ProCom_8c:af:af","Broadcast","ARP","60","Who has 172.16.1.1? Tell 172.16.1.41"
"9","6.004217785","G-ProCom_8c:af:af","Broadcast","ARP","60","Who has 172.16.1.1? Tell 172.16.1.41"
"10","6.221317809","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"11","8.229930845","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"12","9.010669513","G-ProCom_8c:af:af","Broadcast","ARP","60","Who has 172.16.1.1? Tell 172.16.1.41"
"13","10.008368592","G-ProCom_8c:af:af","Broadcast","ARP","60","Who has 172.16.1.1? Tell 172.16.1.41"
"14","10.230763703","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"15","11.008404491","G-ProCom_8c:af:af","Broadcast","ARP","60","Who has 172.16.1.1? Tell 172.16.1.41"
"16","12.235518777","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"17","12.746303982","172.16.40.254","172.16.40.255","ICMP","98","Echo (ping) request  id=0x36bc, seq=1/256, ttl=64 (no response found!)"
"18","13.763193280","172.16.40.254","172.16.40.255","ICMP","98","Echo (ping) request  id=0x36bc, seq=2/512, ttl=64 (no response found!)"
"19","13.892926817","Cisco_d4:1c:04","Cisco_d4:1c:04","LOOP","60","Reply"
"20","14.016609375","G-ProCom_8c:af:af","Broadcast","ARP","60","Who has 172.16.1.1? Tell 172.16.1.41"
"21","14.240370720","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"22","14.787204015","172.16.40.254","172.16.40.255","ICMP","98","Echo (ping) request  id=0x36bc, seq=3/768, ttl=64 (no response found!)"
"23","15.016554689","G-ProCom_8c:af:af","Broadcast","ARP","60","Who has 172.16.1.1? Tell 172.16.1.41"
"24","15.811192680","172.16.40.254","172.16.40.255","ICMP","98","Echo (ping) request  id=0x36bc, seq=4/1024, ttl=64 (no response found!)"
"25","16.016592264","G-ProCom_8c:af:af","Broadcast","ARP","60","Who has 172.16.1.1? Tell 172.16.1.41"
"26","16.245681312","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"27","16.835185536","172.16.40.254","172.16.40.255","ICMP","98","Echo (ping) request  id=0x36bc, seq=5/1280, ttl=64 (no response found!)"
"28","17.863191332","172.16.40.254","172.16.40.255","ICMP","98","Echo (ping) request  id=0x36bc, seq=6/1536, ttl=64 (no response found!)"
"29","18.250367453","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"30","18.883373368","172.16.40.254","172.16.40.255","ICMP","98","Echo (ping) request  id=0x36bc, seq=7/1792, ttl=64 (no response found!)"
"31","19.021912843","G-ProCom_8c:af:af","Broadcast","ARP","60","Who has 172.16.1.1? Tell 172.16.1.41"
"32","19.907196090","172.16.40.254","172.16.40.255","ICMP","98","Echo (ping) request  id=0x36bc, seq=8/2048, ttl=64 (no response found!)"
"33","20.020739369","G-ProCom_8c:af:af","Broadcast","ARP","60","Who has 172.16.1.1? Tell 172.16.1.41"
"34","20.259566318","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"35","20.283397212","fe80::20f:feff:fe8c:afaf","ff02::fb","MDNS","180","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
"36","20.283479624","172.16.1.41","224.0.0.251","MDNS","160","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
"37","20.931195301","172.16.40.254","172.16.40.255","ICMP","98","Echo (ping) request  id=0x36bc, seq=9/2304, ttl=64 (no response found!)"
"38","21.020783020","G-ProCom_8c:af:af","Broadcast","ARP","60","Who has 172.16.1.1? Tell 172.16.1.41"
"39","21.955196468","172.16.40.254","172.16.40.255","ICMP","98","Echo (ping) request  id=0x36bc, seq=10/2560, ttl=64 (no response found!)"
"40","22.260632515","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"41","22.979190650","172.16.40.254","172.16.40.255","ICMP","98","Echo (ping) request  id=0x36bc, seq=11/2816, ttl=64 (no response found!)"
"42","23.895118926","Cisco_d4:1c:04","Cisco_d4:1c:04","LOOP","60","Reply"
"43","24.003194401","172.16.40.254","172.16.40.255","ICMP","98","Echo (ping) request  id=0x36bc, seq=12/3072, ttl=64 (no response found!)"
